image,question_id,noun
COCO_train2014_000000487025.jpg,4870251,shadow
COCO_train2014_000000487025.jpg,4870252,bench
COCO_train2014_000000078077.jpg,780770,train
COCO_train2014_000000078077.jpg,780771,color
COCO_train2014_000000078077.jpg,780771,stripe
COCO_train2014_000000078077.jpg,780771,train
COCO_train2014_000000078077.jpg,780772,side
COCO_train2014_000000078077.jpg,780772,train
COCO_train2014_000000501867.jpg,5018672,bus
COCO_train2014_000000501867.jpg,5018672,driver
COCO_train2014_000000501867.jpg,5018672,kind
COCO_train2014_000000501867.jpg,5018672,medication
COCO_train2014_000000501867.jpg,5018670,bus
COCO_train2014_000000501867.jpg,5018671,color
COCO_train2014_000000501867.jpg,5018671,bus
COCO_train2014_000000529524.jpg,5295240,sale
COCO_train2014_000000529524.jpg,5295241,sale
COCO_train2014_000000529524.jpg,5295241,tent
COCO_train2014_000000529524.jpg,5295242,grocery
COCO_train2014_000000529524.jpg,5295242,store
COCO_train2014_000000497494.jpg,4974940,dog
COCO_train2014_000000497494.jpg,4974940,bed
COCO_train2014_000000497494.jpg,4974941,frame
COCO_train2014_000000497494.jpg,4974941,bed
COCO_train2014_000000497494.jpg,4974942,dog
COCO_train2014_000000166702.jpg,1667020,color
COCO_train2014_000000166702.jpg,1667020,clock
COCO_train2014_000000166702.jpg,1667021,direction
COCO_train2014_000000166702.jpg,1667021,weathervane
COCO_train2014_000000166702.jpg,1667021,pointing
COCO_train2014_000000166702.jpg,1667022,term
COCO_train2014_000000166702.jpg,1667022,wife
COCO_train2014_000000166702.jpg,1667022,walk
COCO_train2014_000000166702.jpg,1667022,top
COCO_train2014_000000166702.jpg,1667022,building
COCO_train2014_000000318857.jpg,3188570,picture
COCO_train2014_000000318857.jpg,3188571,animal
COCO_train2014_000000318857.jpg,3188571,man
COCO_train2014_000000318857.jpg,3188571,lap
COCO_train2014_000000318857.jpg,3188572,man
COCO_train2014_000000318857.jpg,3188572,hand
COCO_train2014_000000480082.jpg,4800820,kind
COCO_train2014_000000480082.jpg,4800820,pizza
COCO_train2014_000000480082.jpg,4800821,name
COCO_train2014_000000480082.jpg,4800821,pizza
COCO_train2014_000000480082.jpg,4800821,recipe
COCO_train2014_000000423964.jpg,4239640,city
COCO_train2014_000000423964.jpg,4239641,size
COCO_train2014_000000423964.jpg,4239641,wake
COCO_train2014_000000423964.jpg,4239641,speed
COCO_train2014_000000423964.jpg,4239641,boat
COCO_train2014_000000423964.jpg,4239642,water
COCO_train2014_000000423964.jpg,4239642,picture
COCO_train2014_000000081074.jpg,810740,color
COCO_train2014_000000081074.jpg,810740,desk
COCO_train2014_000000081074.jpg,810741,color
COCO_train2014_000000081074.jpg,810742,color
